Ano;ID;TIPO DO CRIME;BAIRRO;HORA;LOCAL
2018;207;ROUBO;JARDIM DAS AMERICAS;15;PUBLICO
2018;208;FURTO QUALIFICADO;ALTO BOQUEIRAO;11;RESIDENCIA
2018;209;ROUBO;BAIRRO ALTO;16;PUBLICO
2018;210;ROUBO;AGUA VERDE;19;SAUDE
2018;211;LESAO CORPORAL;CRISTO REI;3;SAUDE
2018;212;ROUBO;CRISTO REI;4;PUBLICO
2018;213;ROUBO;CRISTO REI;7;MERCADO
2018;214;FURTO SIMPLES;AGUA VERDE;22;MERCADO
2018;215;ROUBO;CAPAO RASO;19;PUBLICO
2018;216;ROUBO;VISTA ALEGRE;16;COMERCIO
2018;217;ROUBO;PILARZINHO;16;PUBLICO
2018;218;ROUBO;NOVO MUNDO;18;MERCADO
2018;219;ROUBO;VISTA ALEGRE;18;PUBLICO
2018;220;FURTO QUALIFICADO;AGUA VERDE;6;ENSINO
2018;221;FURTO QUALIFICADO;PORTAO;20;ENSINO
2018;222;LESAO CORPORAL;NOVO MUNDO;20;RESIDENCIA
2018;223;ROUBO;SITIO CERCADO;18;SAUDE
2018;224;ROUBO;PILARZINHO;22;PUBLICO
2018;225;ROUBO;AGUA VERDE;4;RESIDENCIA
2018;226;ROUBO;BOQUEIRAO;18;PUBLICO
2018;227;FURTO QUALIFICADO;BIGORRILHO;19;RESIDENCIA
2018;228;FURTO QUALIFICADO;SAO FRANCISCO;15;PUBLICO
2018;229;FURTO QUALIFICADO;ALTO DA RUA XV;3;COMERCIO
2018;230;LESAO CORPORAL;BAIRRO ALTO;23;PUBLICO
2018;231;LESAO CORPORAL;CAMPO DE SANTANA;7;PUBLICO
2018;232;LESAO CORPORAL;CAMPO DE SANTANA;7;TRANSPORTE
2018;233;LESAO CORPORAL;TATUQUARA;15;PUBLICO
2018;234;FURTO QUALIFICADO;FAZENDINHA;0;RESIDENCIA
2018;235;ROUBO;CENTRO;23;COMERCIO
2018;236;ROUBO;CENTRO;23;PUBLICO
2018;237;FURTO QUALIFICADO;ALTO DA RUA XV;3;RESIDENCIA
2018;238;ROUBO;CIDADE INDUSTRIAL;5;PUBLICO
2018;239;FURTO QUALIFICADO;UBERABA;9;PUBLICO
2018;240;ROUBO;JARDIM BOTANICO;10;PUBLICO
2018;241;ROUBO;CIDADE INDUSTRIAL;6;PUBLICO
2018;242;ROUBO;BAIRRO ALTO;14;OUTROS
2018;243;ROUBO;ORLEANS;6;PUBLICO
2018;244;ROUBO;SANTO INACIO;21;RESIDENCIA
2018;245;ROUBO;SANTA QUITERIA;18;PUBLICO
2018;246;FURTO QUALIFICADO;CIDADE INDUSTRIAL;5;PUBLICO
2018;247;ROUBO;GUAIRA;13;PUBLICO
2018;248;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;CAMPO DE SANTANA;16;PUBLICO
2018;249;FURTO SIMPLES;JARDIM BOTANICO;17;TRANSPORTE
2018;250;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;SAO FRANCISCO;17;PUBLICO
2018;251;ROUBO;CIDADE INDUSTRIAL;12;COMERCIO
2018;252;ROUBO;BACACHERI;4;SAUDE
2018;253;FURTO QUALIFICADO;CIDADE INDUSTRIAL;10;COMERCIO
2018;254;FURTO QUALIFICADO;TATUQUARA;18;RESIDENCIA
2018;255;ROUBO;GUAIRA;19;PUBLICO
2018;256;FURTO DE COISA COMUM;CENTRO;20;COMERCIO
2018;257;ROUBO;PINHEIRINHO;19;PUBLICO
2018;258;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;BAIRRO ALTO;22;PUBLICO
2018;259;ROUBO;UBERABA;6;COMERCIO
2018;260;LESAO CORPORAL;UBERABA;12;RESIDENCIA
2018;261;ROUBO;CIDADE INDUSTRIAL;10;PUBLICO
2018;262;LESAO CORPORAL;CIDADE INDUSTRIAL;16;RESIDENCIA
2018;263;ROUBO;CIDADE INDUSTRIAL;0;PUBLICO
2018;264;ROUBO;PORTAO;0;SAUDE
2018;265;FURTO QUALIFICADO;FANNY;9;INDUSTRIA
2018;266;FURTO SIMPLES;CAJURU;14;PUBLICO
2018;267;FURTO QUALIFICADO;FANNY;9;PRESTACAO DE SERVICOS
2018;268;FURTO QUALIFICADO;BAIRRO ALTO;18;COMERCIO
2018;269;ROUBO;CENTRO;14;COMERCIO
2018;270;FURTO SIMPLES;CAPAO DA IMBUIA;17;RESIDENCIA
2018;271;LESAO CORPORAL;NOVO MUNDO;22;RESIDENCIA
2018;272;ROUBO;JARDIM DAS AMERICAS;21;SAUDE
2018;273;ROUBO;BACACHERI;22;SAUDE
2018;274;ROUBO;CENTRO;13;SAUDE
2018;275;FURTO QUALIFICADO;MERCES;18;RESIDENCIA
2018;276;FURTO QUALIFICADO;CENTRO;7;COMERCIO
2018;277;ROUBO;CENTRO;10;SAUDE
2018;278;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;PRADO VELHO;8;PUBLICO
2018;279;FURTO QUALIFICADO;SAO FRANCISCO;15;RESIDENCIA
2018;280;ROUBO;CENTRO;23;PUBLICO
2018;281;ROUBO;CENTRO;23;PUBLICO
2018;282;FURTO QUALIFICADO;JUVEVE;9;PUBLICO
2018;283;FURTO QUALIFICADO;JUVEVE;9;RESIDENCIA
2018;284;ROUBO;CAMPO DE SANTANA;20;PUBLICO
2018;285;FURTO QUALIFICADO;CENTRO;7;ALIMENTACAO / DIVERSAO
2018;286;ROUBO;PAROLIN;19;PUBLICO
2018;287;FURTO QUALIFICADO;BAIRRO ALTO;22;RELIGIOSOS
2018;288;ROUBO;PINHEIRINHO;18;COMERCIO
